Gene_id	HBR_Rep1	HBR_Rep2	HBR_Rep3	UHR_Rep1	UHR_Rep2	UHR_Rep3
ERCC-00002	18706	23249	20800	19439	12608	16562
ERCC-00003	1449	1574	1512	1730	1091	1327
ERCC-00004	454	536	497	4560	3293	3653
ERCC-00009	315	387	352	684	468	547
ERCC-00012	0	0	0	1	0	0
ERCC-00013	0	0	0	2	2	0
ERCC-00014	13	9	4	10	2	8
ERCC-00016	0	0	0	0	0	0
ERCC-00017	0	0	0	0	0	1
ERCC-00019	3	5	2	13	11	12
ERCC-00022	149	163	163	200	95	150
ERCC-00024	0	0	0	0	0	0
ERCC-00025	80	77	60	128	93	97
ERCC-00028	2	0	0	6	8	5
ERCC-00031	0	1	4	4	0	0
ERCC-00033	0	0	0	0	0	3
ERCC-00034	7	16	11	17	7	17
ERCC-00035	47	77	57	122	63	98
ERCC-00039	1	1	3	3	3	1
ERCC-00040	0	0	0	0	0	1
ERCC-00041	0	1	1	0	0	0
ERCC-00042	325	379	341	725	528	668
ERCC-00043	848	976	916	1078	723	857
ERCC-00044	106	155	117	174	98	123
ERCC-00046	1564	1662	1572	1888	1239	1456
ERCC-00048	0	0	0	0	0	0
ERCC-00051	2	0	2	8	5	2
ERCC-00053	14	17	11	26	28	34
ERCC-00054	2	2	3	3	0	1
ERCC-00057	0	0	0	0	0	0
ERCC-00058	1	7	5	1	2	3
ERCC-00059	11	8	14	14	7	6
ERCC-00060	91	101	97	233	165	166
ERCC-00061	0	0	0	0	0	0
ERCC-00062	13	12	4	95	55	75
ERCC-00067	0	0	2	1	0	2
ERCC-00069	1	6	4	3	1	1
ERCC-00071	39	48	31	66	31	49
ERCC-00073	1	0	0	1	1	0
ERCC-00074	10453	12375	11434	15555	11522	13086
ERCC-00075	0	0	0	0	0	0
ERCC-00076	98	140	119	119	72	93
ERCC-00077	1	0	0	0	2	1
ERCC-00078	41	50	55	45	25	29
ERCC-00079	28	39	48	44	27	33
ERCC-00081	0	0	0	0	0	0
ERCC-00083	0	0	0	0	0	0
ERCC-00084	27	34	40	46	24	29
ERCC-00085	2	2	0	12	2	11
ERCC-00086	0	0	0	0	0	0
ERCC-00092	33	55	39	336	250	295
ERCC-00095	20	30	20	165	112	125
ERCC-00096	10219	12650	11118	21308	13982	17619
ERCC-00097	0	0	0	2	0	0
ERCC-00098	0	0	0	0	0	0
ERCC-00099	18	17	11	16	13	20
ERCC-00104	0	0	1	0	2	0
ERCC-00108	108	109	121	912	599	814
ERCC-00109	0	0	0	0	2	0
ERCC-00111	520	619	490	644	469	547
ERCC-00112	178	240	219	209	152	160
ERCC-00113	3504	4262	3830	4800	3239	4172
ERCC-00116	149	141	138	990	696	984
ERCC-00117	0	0	0	0	0	0
ERCC-00120	1	0	0	0	0	0
ERCC-00123	0	0	0	0	0	0
ERCC-00126	3	3	5	13	2	11
ERCC-00130	3985	5275	4334	34043	21903	27923
ERCC-00131	19	36	20	148	91	128
ERCC-00134	0	0	1	0	0	0
ERCC-00136	255	301	241	2177	1500	1761
ERCC-00137	0	0	0	1	2	0
ERCC-00138	1	0	0	0	1	0
ERCC-00142	0	0	0	0	1	0
ERCC-00143	0	3	1	4	5	3
ERCC-00144	1	1	4	10	4	4
ERCC-00145	477	687	555	761	476	593
ERCC-00147	0	0	0	0	0	0
ERCC-00148	1	0	5	2	0	5
ERCC-00150	0	3	1	2	4	0
ERCC-00154	1	0	1	1	7	4
ERCC-00156	0	0	0	0	0	0
ERCC-00157	11	9	15	13	11	12
ERCC-00158	0	0	2	1	1	2
ERCC-00160	8	21	14	13	9	10
ERCC-00162	28	22	27	50	37	32
ERCC-00163	5	7	13	5	4	9
ERCC-00164	0	1	0	0	0	0
ERCC-00165	33	63	40	51	28	36
ERCC-00168	2	1	1	0	1	0
ERCC-00170	1	2	3	17	14	15
ERCC-00171	905	1224	1036	1838	1283	1601
